Unnamed: 0,system:index,elevation,surface_runoff_sum,temperature_2m,total_precipitation_sum,volumetric_soil_water_layer_1,.geo,longitude,latitude,geometry,index_right,adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm2_ref_n,sendist_en,sendistpco,center_lat,center_lon,distance,state_name,lga,region_type,flood_influence,historical_flood_lga,high_risk_state,hybrid_score,flood_label
0,0,6,0.0002306450425299,299.99946741533284,0.0070946187164906,0.2515496959538288,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.06362816780677,4.266997599567727]}",6.06362816780677,4.266997599567727,POINT (6.06362816780677 4.266997599567727),125,Brass,,,,NG006001,Bayelsa,,,,NG006,Nigeria,,,,NG,2019-04-17,,943.50332519,v01,en,,,,Brass,Bayelsa East,NG00602,4.41716504,6.10600524,2297.545517922832,Bayelsa,Brass,Coastal/Delta,Tidal+River,0,1,5,1
1,1,13,0.0002906510359018,299.95104726851986,0.0073008847315921,0.2633450744758912,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.1534596962187225,4.266997599567727]}",6.1534596962187225,4.266997599567727,POINT (6.153459696218722 4.266997599567727),125,Brass,,,,NG006001,Bayelsa,,,,NG006,Nigeria,,,,NG,2019-04-17,,943.50332519,v01,en,,,,Brass,Bayelsa East,NG00602,4.41716504,6.10600524,964.2083492537018,Bayelsa,Brass,Coastal/Delta,Tidal+River,0,1,4,1
2,2,5,0.0002906510359018,299.95104726851986,0.0073008847315921,0.2633450744758912,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.243291224630674,4.266997599567727]}",6.243291224630674,4.266997599567727,POINT (6.243291224630674 4.266997599567727),125,Brass,,,,NG006001,Bayelsa,,,,NG006,Nigeria,,,,NG,2019-04-17,,943.50332519,v01,en,,,,Brass,Bayelsa East,NG00602,4.41716504,6.10600524,3000.5941693405584,Bayelsa,Brass,Coastal/Delta,Tidal+River,0,1,5,1
3,3,4,0.0002806699069217,299.9150355791878,0.0074023698414219,0.253628408239618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.333122753042626,4.266997599567727]}",6.333122753042626,4.266997599567727,POINT (6.333122753042626 4.266997599567727),125,Brass,,,,NG006001,Bayelsa,,,,NG006,Nigeria,,,,NG,2019-04-17,,943.50332519,v01,en,,,,Brass,Bayelsa East,NG00602,4.41716504,6.10600524,3658.107577955317,Bayelsa,Brass,Coastal/Delta,Tidal+River,0,1,5,1
4,4,489,0.0041470324262697,297.5286742558169,0.0143341540314044,0.3874466532027178,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.028068605401192,4.266997599567727]}",9.028068605401192,4.266997599567727,POINT (9.02806860540119 4.266997599567727),41,Akpabuyo,,,,NG009003,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,793.44744868,v01,en,,,,Akpabuyo,Cross River South,NG00903,4.90119648,8.48230229,74153.8084571693,Cross River,Akpabuyo,Coastal/Delta,Coastal+River,0,0,6,1
5,5,1185,0.0034217913501178,294.0030183187091,0.0129332425879282,0.3710982469088331,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.117900133813142,4.266997599567727]}",9.117900133813142,4.266997599567727,POINT (9.117900133813142 4.266997599567727),41,Akpabuyo,,,,NG009003,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,793.44744868,v01,en,,,,Akpabuyo,Cross River South,NG00903,4.90119648,8.48230229,81893.05525749105,Cross River,Akpabuyo,Coastal/Delta,Coastal+River,0,0,6,1
6,6,2188,0.0031404215068862,292.2922734420594,0.0112700791441772,0.3556141797473003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.207731662225095,4.266997599567727]}",9.207731662225097,4.266997599567727,POINT (9.207731662225093 4.266997599567727),41,Akpabuyo,,,,NG009003,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,793.44744868,v01,en,,,,Akpabuyo,Cross River South,NG00903,4.90119648,8.48230229,89630.7905876955,Cross River,Akpabuyo,Coastal/Delta,Coastal+River,0,0,6,1
7,7,1714,0.0030740241939648,295.7586059187272,0.010133301378941,0.3593944164782771,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.297563190637048,4.266997599567727]}",9.297563190637048,4.266997599567727,POINT (9.297563190637048 4.266997599567727),41,Akpabuyo,,,,NG009003,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,793.44744868,v01,en,,,,Akpabuyo,Cross River South,NG00903,4.90119648,8.48230229,97097.9603237126,Cross River,Akpabuyo,Coastal/Delta,Coastal+River,0,0,6,1
8,8,58,0.0020396456714092,299.2299457853575,0.009297557093178,0.368612777800497,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.387394719048999,4.266997599567727]}",9.387394719049,4.266997599567727,POINT (9.387394719048997 4.266997599567727),41,Akpabuyo,,,,NG009003,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,793.44744868,v01,en,,,,Akpabuyo,Cross River South,NG00903,4.90119648,8.48230229,104981.81908723932,Cross River,Akpabuyo,Coastal/Delta,Coastal+River,0,0,7,1
9,9,40,0.0017530936110188,299.7328930786172,0.0085468603585979,0.367934979569798,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.477226247460951,4.266997599567727]}",9.477226247460951,4.266997599567727,POINT (9.477226247460951 4.266997599567727),41,Akpabuyo,,,,NG009003,Cross River,,,,NG009,Nigeria,,,,NG,2019-04-17,,793.44744868,v01,en,,,,Akpabuyo,Cross River South,NG00903,4.90119648,8.48230229,113200.48930418312,Cross River,Akpabuyo,Coastal/Delta,Coastal+River,0,0,6,1
